FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018004,Coastal Growers Farmers Market,http://www.coastalmarket.org,https://www.facebook.com/CoastalGrowers/,,,https://www.instagram.com/coastalgrowers/,2325 Boston Neck Rd,Saunderstown,Washington,Rhode Island,02852,05/13/2017 to 10/28/2017,Sat: 8:30 AM-12:30 PM;,11/04/2017 to 04/28/2018,Sat: 9:00 AM-12:00 PM;,,,,,-71.4234663,41.5121102,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/19/2017 9:39:24 AM
1004708,East Greenwich Farmers’ Market,http://www.eastgreenwichfarmersmarket.com,https://www.facebook.com/pages/East-Greenwich-Farmers-Market/326279396311,,,,Church and Rector St,East Greenwich,Kent,Rhode Island,02818,06/03/2013 to 10/07/2013,Mon: 3:00 PM-6:00 PM;,,,,,,,-71.453619,41.660858,Local government building grounds,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/12/2013 1:17:27 PM
1002035,Fisherman's Memorial Park Farmers Market,http://www.rigrown.ri.gov,,,,,Fisherman's Memorial State Park,Narragansett,Washington,Rhode Island,02879,05/07/2017 to 10/29/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-71.6232,41.47,,Y,Y,Y,Y,N,-,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,12/9/2016 12:23:06 PM
1002036,Goddard Park Farmers Market,http://www.rigrown.ri.gov,,,,,Goddard State Park,East Greenwich,Providence,Rhode Island,02886,05/05/2017 to 10/27/2017,Fri: 9:00 AM-1:00 PM;,,,,,,,-71.431,41.66,,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,12/9/2016 12:21:54 PM
1010143,Greene Public Library Association Farmers Market,,,,,,179 Hopkins Hollow Road,Greene ,Kent,Rhode Island,02827,06/03/2014 to 10/07/2014,Tue: 4:00 PM-7:00 PM;,,,,,,,-71.7494930,41.6880790,Educational institution,Y,N,N,N,N,-,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,5/14/2014 11:36:58 AM
1002037,Haines State Park Farmers' Market,http://www.rigrown.ri.gov,,,,,Haines Memorial State Park,Barringon,Bristol,Rhode Island,,05/04/2016 to 10/25/2017,Wed: 2:00 PM-6:00 PM;,,,,,,,-71.3451,41.7527,,Y,Y,Y,Y,Y,-,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,12/9/2016 12:18:19 PM
1012844,Hope Street Farmers Market,http://www.hopestreetmarket.com/,,,,,1059 Hope Street,Providence ,Providence,Rhode Island,02906,05/06/2017 to 10/28/2017,Sat: 9:00 AM-1:00 PM;,05/31/2017 to 10/25/2017,Wed: 3:00 PM-6:00 PM;,,,,,-71.391510,41.854673,,Y,Y,Y,Y,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,10/28/2016 2:45:53 PM
1018487,Jamestown Farmers Market,http://jamestownfarmersmarket.com,Jamestown Farmer's Market,,,,"Fort Getty Pavilion, Fort Getty Road",Jamestown,Newport,Rhode Island,02835,06/19/2017 to 09/04/2017,Mon: 4:00 PM-7:00 PM;,,,,,,,-71.3992023,41.4888419,,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,6/29/2017 7:33:36 PM
1004629,Marina Park Farmers Market,http://www.farmfreshri.org/find/farmersmarkets.php,,,,,Marina Park,Wakefield,Washington,Rhode Island,02879,,,,,,,,,-71.4952,41.4289,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1000840,Mount Hope Farmers Market,http://www.mounthopefarm.org/farmersmarket,https://www.facebook.com/mounthopefarm,https://twitter.com/MountHopeMarket,,,250 Metacom Ave,Bristol,Bristol,Rhode Island,02809,01/01/2017 to 12/01/2018,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.2568820,41.6694780,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,1/28/2017 7:01:32 PM
1006787,Neutaconkanut Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=454,,,,,675 Plainfield Street,Providence,Providence,Rhode Island,02909,07/03/2017 to 10/30/2017,Mon: 3:00 PM-6:00 PM;,,,,,,,-71.462311,41.811105,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/1/2017 10:30:23 AM
1018049,North Providence Farmers Market,http://northprovidenceri.gov/farmers-market/,https://www.facebook.com/NPFarmersMarket,,,,1828 Mineral Spring Avenue,North Providence,Providence,Rhode Island,02911,06/23/2017 to 09/15/2017,Sat: 3:30 PM-6:30 PM;,,,,,,,-71.4595737,41.8605064,,Y,Y,Y,Y,N,-,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,6/5/2017 9:12:53 PM
1016768,North Scituate Farmers Market,http://www.scituatefarmersmarketri.org/,https://www.facebook.com/scituatefarmersmarketri/?ref=page_internal,https://twitter.com/scifarmersmktri,,,46 Institute Lane,North Scituate,Providence,Rhode Island,02857,05/13/2017 to 09/30/2017,Sat: 9:00 AM-12:00 PM;,,,,,,,-71.585906,41.833758,,Y,Y,Y,Y,N,-,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,5/1/2017 10:37:10 AM
1005418,Pawtuxet Village Farmers Market,http://www.friendsofthepawtuxet.org,,,,,1825 Broad Street,Cranston,Providence,Rhode Island,02905,,,,,,,,,-71.399771,41.775448,Local government building grounds,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/27/2013 9:08:07 PM
1006783,Providence Downtown Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=13,,,,,2 Kennedy Plaza,Providence,Providence,Rhode Island,02903,07/11/2017 to 10/31/2017,Tue: 3:00 PM-6:00 PM;,,,,,,,-71.411784,41.825224,,Y,Y,Y,Y,Y,-,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/1/2017 10:31:50 AM
1010177,Providence/Broad St. Farmers' Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=3,,,,,807 Broad Street,Providence ,Providence,Rhode Island,02907,07/01/2017 to 10/28/2017,Sat: 8:00 AM-11:30 PM;,,,,,,,-71.418959,41.801848,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/4/2017 12:44:27 PM
1017972,Sankofa World Market,,https://www.facebook.com/SankofaPVD/,,,,275 Elmwood Avenue,Providence,Providence,Rhode Island,02907,07/05/2017 to 09/27/2017,Wed: 2:00 PM-6:00 PM;,,,,,,,-71.425598,41.805143,,Y,Y,Y,Y,Y,-,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,5/4/2017 5:11:42 PM
1017929,Schoolyard Market at Hope & Main,http://www.makefoodyourbusiness.org,facebook.com/hopeandmain,hopeandmain,,hopemain (Instagram),691 Main Street,Warren,Bristol,Rhode Island,02885,06/18/2017 to 10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-71.281705,41.725306,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,4/22/2017 5:32:10 PM
1006296,Slater Park Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=30,,,,,"Slater Park, 825 Armistice Blvd",Pawtucket,Providence,Rhode Island,02860,07/09/2017 to 10/29/2017,Sun: 12:00 PM-3:00 PM;,,,,,,,-71.344574,41.872352,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,5/4/2017 12:47:16 PM
1007139,URI Farmers Market,,,,,,"2095 Kingstown Rd.,",South Kingstown,WASHINGTON,Rhode Island,,,,,,,,,,-71.5143,41.4708,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
1012839,Weaver Library Farmers' Market,http://www.eastprovidencelibrary.org,https://www.facebook.com/Weaver-Library-Farmers-Market-1704373393183379,,,@weaverlibrary,41 Grove Avenue,East Providence ,Providence,Rhode Island,02914,06/22/2017 to 09/14/2017,Thu: 4:00 PM-7:00 PM;,,,,,,,-71.3752590,41.8184660,,Y,Y,Y,Y,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,1/25/2017 2:43:28 PM
1017983,Weekapaug Farmers' Market,,,,,,2 Wawaloam Drive,Weekapaug ,Washington,Rhode Island,02891,06/30/2017 to 09/01/2017,Fri: 8:30 AM-11:30 AM;,,,,,,,-71.761919,41.337415,,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,5/9/2017 2:12:11 PM
1008225,West Warwick Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=526,,,,,186 Providence Street,West Warwick,Kent,Rhode Island,02893,07/06/2017 to 10/26/2017,Thu: 3:00 PM-6:00 PM;,,,,,,,-71.514874,41.714976,,Y,Y,Y,Y,Y,-,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/1/2017 10:27:13 AM
1007128,Whole Foods—Garden City Farmers’ Market,,,,,,151 Sockanosset Cross Rd.,Cranston,,Rhode Island,02920,,,,,,,,,-71.4561,41.7559,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
1006788,Wintertime Farmers Market,http://www.farmfresh.org/food/farmersmarkets_details.php?market=29,,,,,1005 Main Street,Pawtucket,Providence,Rhode Island,02860,11/05/2016 to 04/29/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.3993668,41.8626820,,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,10/27/2016 11:39:01 AM
1018471,Woonsocket Farmers Market,,,,,,450 Clinton Street,Woonsocket ,Providence,Rhode Island,02895,07/11/2017 to 10/31/2017,Tue: 3:00 AM-6:00 PM;,,,,,,,-71.505775,42.007215,,Y,Y,Y,Y,Y,-,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/29/2017 12:31:18 PM
